date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2023-08-29,165.14583333333334,73.75,545.7083333333334,41.358333333333334,16.875,93.54166666666667,1.1341666666666665,151.45833333333334,1.3541666666666667,148.08333333333334,90.04166666666667
2023-08-30,196.71666666666667,95.32916666666667,853.4166666666666,67.37083333333334,21.287499999999998,91.33333333333333,0.9054166666666666,143.04166666666666,1.6979166666666667,172.75,123.58333333333333
2023-08-31,113.22916666666667,66.70416666666667,519.0,32.55833333333333,11.1625,81.95833333333333,1.0733333333333335,46.291666666666664,1.6187500000000001,161.75,102.58333333333333
2023-09-01,94.28750000000001,58.541666666666664,354.75,17.474999999999998,11.608333333333334,98.5,1.4854166666666666,28.875,1.1708333333333334,153.70833333333334,87.625
2023-09-02,110.36666666666667,68.36666666666666,419.0,22.6125,14.725,101.625,1.5783333333333334,28.416666666666668,1.0895833333333333,154.0,87.375
2023-09-03,46.64166666666667,32.3125,354.7083333333333,20.5,10.570833333333333,76.70833333333333,0.8620833333333334,5.125,1.1666666666666667,146.58333333333334,89.25
2023-09-04,36.4625,25.645833333333332,450.25,34.63333333333333,10.245833333333334,54.25,0.24208333333333334,0.5416666666666666,1.3687500000000001,66.95833333333333,45.833333333333336
2023-09-05,64.99166666666666,45.225,615.2916666666666,41.49583333333333,19.0125,106.29166666666667,0.5766666666666667,0.0,1.8062500000000001,135.16666666666666,75.08333333333333
2023-09-06,19.837500000000002,13.833333333333334,274.5,16.6875,7.433333333333334,60.875,0.26208333333333333,0.0,1.75,80.75,52.958333333333336
2023-09-07,12.504166666666668,8.608333333333333,207.04166666666666,12.129166666666668,6.620833333333334,59.75,0.19083333333333333,0.0,1.425,45.583333333333336,26.916666666666668
2023-09-08,14.166666666666666,9.695833333333333,218.41666666666666,12.025,5.791666666666667,64.45833333333333,0.3204166666666667,0.4583333333333333,0.725,34.208333333333336,26.166666666666668
2023-09-09,33.125,20.904166666666665,264.875,18.658333333333335,7.1625000000000005,52.875,0.5083333333333333,5.083333333333333,1.6791666666666665,54.25,31.916666666666668
